mnum,claude,chatgpt,gemini,grok
1,9.999999999999998,0.0,39.99999999999999,25.999999999999993
2,56.49999999999999,-8.0,194.99999999999997,111.24999999999997
3,56.49999999999999,-8.0,290.2380952380952,173.15476190476187
4,21.499999999999993,23.799999999999997,555.2380952380952,103.15476190476187
5,-3.500000000000007,23.799999999999997,455.2380952380952,28.15476190476187
6,-28.500000000000007,23.799999999999997,571.2380952380952,-21.84523809523813
7,-10.85294117647059,23.799999999999997,630.0616246498599,13.448879551820703
8,-35.852941176470594,83.8,590.0616246498599,-36.5511204481793
9,-35.852941176470594,83.8,594.0616246498599,-33.15112044817929
10,-65.8529411764706,71.8,694.0616246498599,-78.15112044817928
11,-90.8529411764706,101.8,664.0616246498599,-118.15112044817928
12,-63.852941176470594,127.0,718.0616246498599,-59.65112044817929
13,-63.852941176470594,127.0,618.0616246498599,-134.65112044817928
14,-93.8529411764706,127.0,543.0616246498599,-189.65112044817928
15,-118.8529411764706,127.0,443.06162464985994,-259.6511204481793
16,-153.8529411764706,107.0,343.06162464985994,-319.6511204481793
17,-168.8529411764706,107.0,381.5231631113984,-290.80496660202544
18,-180.8529411764706,107.0,426.97770856594383,-256.7140575111164
19,-180.8529411764706,92.0,446.97770856594383,-243.71405751111638
20,-180.8529411764706,92.0,487.79403509655606,-213.1018126131572
21,-180.8529411764706,92.0,387.79403509655606,-293.1018126131572
22,-156.37741670094613,92.0,422.75907006159105,-247.64726715861178
23,-176.37741670094613,77.0,497.00907006159105,-193.64726715861178
24,-191.37741670094613,77.0,537.009070061591,-167.64726715861178
25,-191.37741670094613,67.0,437.00907006159105,-105.24726715861178
26,-191.37741670094613,76.0909090909091,457.78829084081184,-87.06544897679359
27,-211.37741670094613,64.0909090909091,491.9882908408118,-52.86544897679359
28,-241.37741670094613,39.09090909090909,426.9882908408118,-122.86544897679359
29,-241.37741670094613,39.09090909090909,489.4882908408118,-79.11544897679359
30,-271.3774167009461,14.090909090909093,389.4882908408118,-124.11544897679359
31,-286.3774167009461,14.090909090909093,401.9882908408118,-112.86544897679359
32,-286.3774167009461,35.909090909090914,474.7155635680846,-72.86544897679359
33,-296.3774167009461,70.57575757575756,528.048896901418,-46.19878231012693
34,-296.3774167009461,70.57575757575756,428.04889690141795,-106.19878231012693
35,-306.3774167009461,70.57575757575756,482.9939518464729,-70.48449659584122
36,-306.3774167009461,60.575757575757564,457.9939518464729,-26.84813295947758
37,-306.3774167009461,35.575757575757564,517.9939518464729,12.151867040522426
38,-306.3774167009461,60.37575757575756,442.9939518464729,-62.848132959477574
39,-270.3774167009461,40.37575757575756,342.9939518464729,-122.84813295947757
40,-270.3774167009461,46.28484848484847,352.08486093738196,-115.5754056867503
41,-275.3774167009461,80.57056277056276,409.22771808023913,-81.28969140103601
42,-275.3774167009461,80.57056277056276,491.77771808023914,-116.28969140103601
43,-275.3774167009461,80.57056277056276,500.11105141357245,-109.20635806770268
44,-258.71075003427944,86.82056277056276,541.7777180802391,-80.03969140103601
45,-283.71075003427944,86.82056277056276,593.0597693622904,-41.57815293949755
46,-283.71075003427944,86.82056277056276,633.0597693622904,-9.07815293949755
47,-283.71075003427944,51.82056277056276,533.0597693622904,-94.07815293949756
48,-283.71075003427944,51.82056277056276,533.0597693622904,-78.07815293949756
49,-308.71075003427944,51.82056277056276,433.05976936229035,-138.07815293949756
50,-338.71075003427944,51.82056277056276,393.05976936229035,-183.07815293949756
51,-334.54408336761276,55.153896103896095,409.72643602895704,-169.7448196061642
52,-354.54408336761276,55.153896103896095,446.0900723925934,-142.47209233343693
53,-364.54408336761276,75.1538961038961,490.53451683703787,-113.58320344454805
54,-389.54408336761276,57.1538961038961,390.53451683703787,-55.083203444548055
55,-385.9726547961842,65.72532467532467,404.82023112275215,-42.940346301690916
56,-385.9726547961842,40.72532467532467,324.82023112275215,-102.94034630169091
57,-405.9726547961842,5.725324675324671,249.82023112275215,-152.9403463016909
58,-415.9726547961842,15.275120036852647,263.462795924935,-142.7084227000538
59,-372.4726547961842,-4.7248799631473535,163.462795924935,-192.7084227000538
60,-392.4726547961842,-24.72487996314735,220.962795924935,-135.2084227000538
61,-389.7748130695655,-24.72487996314735,238.94840743572635,-123.51777521803942
62,-346.0248130695655,-44.72487996314735,188.94840743572635,-188.51777521803942
63,-361.0248130695655,-64.72487996314734,138.94840743572635,-238.51777521803942
64,-386.0248130695655,-37.224879963147345,163.94840743572635,-211.01777521803942
65,-382.69147973623217,-27.22487996314734,186.17062965794858,-193.23999744026162
66,-402.69147973623217,-7.724879963147345,251.17062965794855,-157.48999744026162
67,-363.69147973623217,37.77512003685265,316.17062965794855,-92.48999744026163
68,-363.69147973623217,47.547107007536695,332.45727460908864,-79.46068147934957
69,-330.09147973623215,47.547107007536695,277.45727460908864,32.539318520650426
70,-330.09147973623215,47.547107007536695,351.5313486831627,80.68746666879858
71,-307.53508875878856,37.547107007536695,251.53134868316272,40.68746666879858
72,-307.53508875878856,37.547107007536695,268.1980153498294,54.85413333546525
73,-327.53508875878856,37.547107007536695,345.1980153498294,104.90413333546525
74,-267.53508875878856,37.547107007536695,245.1980153498294,29.904133335465247
75,-221.53508875878856,37.547107007536695,165.1980153498294,-10.095866664534753
76,-246.53508875878856,59.7471070075367,115.1980153498294,30.60413333546525
77,-256.53508875878856,59.7471070075367,240.1980153498294,105.60413333546525
78,-256.53508875878856,59.7471070075367,270.1980153498294,126.60413333546525
79,-271.53508875878856,72.34710700753669,322.6980153498294,189.60413333546524
80,-281.53508875878856,72.34710700753669,366.6980153498294,218.20413333546523
81,-301.53508875878856,86.14710700753669,316.6980153498294,264.20413333546526
82,-316.53508875878856,86.14710700753669,343.6980153498294,283.10413333546524
83,-279.78508875878856,101.89710700753669,396.1980153498294,325.10413333546524
84,-289.78508875878856,91.89710700753669,456.1980153498294,373.10413333546524
85,-299.78508875878856,91.89710700753669,480.9980153498294,391.70413333546526
86,-314.78508875878856,91.89710700753669,534.9980153498294,421.40413333546525
87,-314.78508875878856,91.89710700753669,549.9980153498294,431.90413333546525
88,-276.78508875878856,91.89710700753669,449.9980153498294,391.90413333546525
89,-276.78508875878856,91.89710700753669,467.9980153498294,404.50413333546527
90,-276.78508875878856,91.89710700753669,544.9980153498294,450.70413333546526
91,-301.78508875878856,71.89710700753669,444.9980153498294,500.70413333546526
92,-255.28508875878856,71.89710700753669,344.9980153498294,460.70413333546526
93,-270.28508875878856,51.89710700753669,244.99801534982942,425.70413333546526
94,-290.28508875878856,41.89710700753669,267.7480153498294,457.5541333354653
95,-315.28508875878856,41.89710700753669,207.74801534982942,412.5541333354653
96,-320.28508875878856,54.84710700753669,244.74801534982942,434.75413333546527
97,-320.28508875878856,42.84710700753669,301.7480153498294,468.95413333546526
98,-301.3850887587886,55.44710700753669,333.2480153498294,506.75413333546527
99,-316.3850887587886,55.44710700753669,402.2480153498294,551.6041333354652
100,-292.6350887587886,117.19710700753669,459.2480153498294,613.3541333354652
101,-260.3850887587886,87.19710700753669,359.2480153498294,563.3541333354652
102,-260.3850887587886,117.94710700753669,461.7480153498294,635.1041333354652
103,-275.3850887587886,117.94710700753669,421.7480153498294,600.1041333354652
104,-275.3850887587886,117.94710700753669,321.7480153498294,650.1041333354652
